Wall time,Step,Value
1528495553.624988,25,0.45400944352149963
1528495568.4670062,30,0.30958548188209534
1528495629.2019355,50,0.39080458879470825
1528495644.1011124,55,0.3694852888584137
1528495673.1795235,65,0.4334319531917572
1528495687.7075033,70,0.41363635659217834
1528495702.2049491,75,0.30434781312942505
1528495746.9110994,90,0.3359375
1528495761.2677968,95,0.4743589758872986
1528495775.9742484,100,0.4375
1528495834.6223798,120,0.3203883469104767
1528495964.992573,165,0.19687500596046448
1528496008.7671382,180,0.23469388484954834
1528496066.8325953,200,0.40340909361839294
1528496095.6264367,210,0.396341472864151
1528496124.6998389,220,0.21794871985912323
1528496138.977642,225,0.5208333134651184
1528496167.6304188,235,0.5142045617103577
1528496196.792142,245,0.41803279519081116
1528496211.27283,250,0.42129629850387573
1528496254.4759204,265,0.3828125
1528496268.9037528,270,0.33173078298568726
1528496283.5146987,275,0.33695653080940247
1528496297.9186773,280,0.40163934230804443
1528496312.3990855,285,0.5
1528496370.2308488,305,0.2777777910232544
1528496399.2178438,315,0.36764705181121826
1528496428.2384076,325,0.4528301954269409
1528496442.604734,330,0.21759259700775146
1528496456.9701822,335,0.32870370149612427
1528496471.5586035,340,0.36627906560897827
1528496514.6227794,355,0.48275861144065857
1528496529.0643163,360,0.29878050088882446
1528496543.4410784,365,0.1944444477558136
1528496557.5747976,370,0.396341472864151
1528496630.051953,395,0.48076921701431274
1528496701.672193,420,0.5089285969734192
1528496716.3578022,425,0.3499999940395355
1528496745.1927462,435,0.4464285671710968
1528496759.812569,440,0.3881579041481018
1528496774.3391123,445,0.3660714328289032
1528496846.5678167,470,0.38749998807907104
1528496962.6055183,510,0.4423076808452606
1528497006.1465216,525,0.25
1528497020.4697874,530,0.43478259444236755
1528497121.2187283,565,0.3586956560611725
1528497164.1947365,580,0.3472222089767456
1528497192.9610257,590,0.375
1528497279.9888628,620,0.4583333432674408
1528497294.5185313,625,0.550000011920929
1528497308.7619545,630,0.46666666865348816
1528497352.2286248,645,0.2142857164144516
1528497366.590486,650,0.3214285671710968
1528497467.8926606,685,0.375
1528497496.78517,695,0.2884615361690521
1528497525.8007953,705,0.375
1528497540.3516057,710,0.32499998807907104
1528497554.6218266,715,0.2708333432674408
1528497569.1176286,720,0.4791666567325592
1528497655.187374,750,0.42500001192092896
1528497698.955581,765,0.42625001072883606
1528497728.0074985,775,0.4601770043373108
1528497756.8042283,785,0.37953367829322815
1528497771.4935713,790,0.4865470826625824
1528497786.075961,795,0.419856458902359
1528497829.5325584,810,0.43566176295280457
1528497872.9530265,825,0.4439393877983093
1528497901.7261233,835,0.4631783068180084
1528497916.548697,840,0.49166667461395264
1528497959.9205396,855,0.35197368264198303
1528498032.162119,880,0.4326923191547394
1528498046.762511,885,0.48317307233810425
1528498061.286083,890,0.29646018147468567
1528498090.2499452,900,0.4065420627593994
1528498133.562029,915,0.4739583432674408
1528498162.6850948,925,0.323369562625885
1528498176.9024084,930,0.33000001311302185
1528498206.1845891,940,0.44306930899620056
1528498235.1310031,950,0.3378378450870514
1528498249.4643276,955,0.40909090638160706
1528498350.4768922,990,0.46590909361839294
1528498466.0172093,1030,0.3478260934352875
1528498480.4604056,1035,0.4754098355770111
1528498494.8778553,1040,0.3920454680919647
1528498552.6412754,1060,0.34259259700775146
1528498595.8603728,1075,0.40816327929496765
1528498639.1712077,1090,0.3333333432674408
1528498696.64239,1110,0.4396551847457886
1528498711.1340518,1115,0.47560974955558777
1528498739.558559,1125,0.5609756112098694
1528498768.5372386,1135,0.4285714328289032
1528498797.8176112,1145,0.49000000953674316
1528498840.5279603,1160,0.49242424964904785
1528498854.7116659,1165,0.5583333373069763
1528498869.0636275,1170,0.39024388790130615
1528498912.4288507,1185,0.5185185074806213
1528499057.1637547,1235,0.3235294222831726
1528499086.1580703,1245,0.47826087474823
1528499172.8890655,1275,0.41304346919059753
1528499216.1780844,1290,0.4124999940395355
1528499230.6235883,1295,0.30263158679008484
1528499245.2261112,1300,0.5
1528499259.4010322,1305,0.265625
1528499288.0494616,1315,0.5208333134651184
1528499345.5120785,1335,0.375
1528499374.8568232,1345,0.40909090638160706
1528499404.089626,1355,0.4117647111415863
1528499432.8685052,1365,0.4117647111415863
1528499505.2208598,1390,0.3194444477558136
1528499534.170929,1400,0.2857142984867096
1528499592.2757506,1420,0.38461539149284363
1528499693.2318377,1455,0.5
1528499707.581613,1460,0.375
1528499779.4658604,1485,0.4318181872367859
1528499793.9724762,1490,0.4000000059604645
1528499808.1980734,1495,0.5
1528499836.9994745,1505,0.44999998807907104
1528499851.9021518,1510,0.4391593039035797
1528499866.4575975,1515,0.4711538553237915
1528499924.206923,1535,0.4870283007621765
1528499938.5243654,1540,0.39637306332588196
1528499967.7937424,1550,0.5239234566688538
1528500011.0088944,1565,0.5404411554336548
1528500068.8356144,1585,0.5341615080833435
1528500083.1855617,1590,0.5096899271011353
1528500098.0244818,1595,0.5083333253860474
1528500112.5638285,1600,0.520312488079071
1528500141.4963303,1610,0.5723684430122375
1528500185.0573642,1625,0.5742574334144592
1528500199.5874085,1630,0.5339806079864502
1528500213.8185794,1635,0.6225961446762085
1528500257.1766574,1650,0.5686274766921997
1528500271.9305966,1655,0.586448609828949
1528500300.830014,1665,0.5060241222381592
1528500387.7433476,1695,0.5742574334144592
1528500416.6979613,1705,0.6081081032752991
1528500459.8776412,1720,0.5335366129875183
1528500474.6583986,1725,0.5194805264472961
1528500503.3777323,1735,0.5625
1528500517.675669,1740,0.5784313678741455
1528500590.0707438,1765,0.5409836173057556
1528500604.407814,1770,0.5757575631141663
1528500633.3155236,1780,0.5769230723381042
1528500662.0985956,1790,0.46721312403678894
1528500676.5737436,1795,0.5340909361839294
1528500690.7997174,1800,0.5035211443901062
1528500734.2998636,1815,0.5648148059844971
1528500792.1002865,1835,0.5613207817077637
1528500849.72191,1855,0.5098039507865906
1528500878.3357708,1865,0.5258620977401733
1528500935.6518426,1885,0.47093021869659424
1528500950.1092114,1890,0.4404761791229248
1528500965.0123963,1895,0.4928571283817291
1528500993.5943909,1905,0.5705128312110901
1528501007.887612,1910,0.4928571283817291
1528501064.9484186,1930,0.5535714030265808
1528501079.6039243,1935,0.574999988079071
1528501093.9383967,1940,0.6296296119689941
1528501122.796725,1950,0.5855262875556946
1528501137.2500288,1955,0.4910714328289032
1528501151.3894002,1960,0.5902777910232544
1528501165.784294,1965,0.5288461446762085
1528501310.9144924,2015,0.5869565010070801
1528501382.9668074,2040,0.41304346919059753
1528501483.8047614,2075,0.5978260636329651
1528501498.0334387,2080,0.6499999761581421
1528501570.0173104,2105,0.5394737124443054
1528501584.355661,2110,0.6323529481887817
1528501612.8372467,2120,0.6323529481887817
1528501642.1648147,2130,0.4305555522441864
1528501699.905561,2150,0.5666666626930237
1528501829.8304958,2195,0.625
1528501844.3760242,2200,0.5192307829856873
1528501858.9036794,2205,0.5769230723381042
1528501873.5016856,2210,0.4583333432674408
1528501916.7408967,2225,0.5416666865348816
1528502002.967968,2255,0.47727271914482117
1528502104.5622454,2290,0.588443398475647
1528502118.900671,2295,0.5790155529975891
1528502133.5161588,2300,0.5325112342834473
